record_label,identifier,amount
Sample 1,00001,1.00
Sample 2,00002,1.00
Sample 3,00003,1.00
Sample 4,00004,1.00
Sample 5,00005,1.00
Sample 6,00006,1.00
Sample 7,00007,1.00
Sample 8,00008,1.00
Sample 9,00009,1.00
Sample 10,00010,1.00
Sample 11,00011,1.00
Sample 12,00012,1.00
Sample 13,00013,1.00
Sample 14,00014,1.00
Sample 15,00015,1.00
Sample 16,00016,1.00
Sample 17,00017,1.00
Sample 18,00018,1.00
Sample 19,00019,1.00
Sample 20,00020,1.00
Sample 21,00021,1.00
Sample 22,00022,1.00
Sample 23,00023,1.00
Sample 24,00024,1.00
Sample 25,00025,1.00
Sample 26,00026,1.00
Sample 27,00027,1.00
Sample 28,00028,1.00
Sample 29,00029,1.00
Sample 30,00030,1.00
Sample 31,00031,1.00
Sample 32,00032,1.00
Sample 33,00033,1.00
Sample 34,00034,1.00
Sample 35,00035,1.00
Sample 36,00036,1.00
Sample 37,00037,1.00
Sample 38,00038,1.00
Sample 39,00039,1.00
Sample 40,00040,1.00
Sample 41,00041,1.00
Sample 42,00042,1.00
Sample 43,00043,1.00
Sample 44,00044,1.00
Sample 45,00045,1.00
Sample 46,00046,1.00
Sample 47,00047,1.00
Sample 48,00048,1.00
Sample 49,00049,1.00
Sample 50,00050,1.00
Sample 51,00051,1.00
Sample 52,00052,1.00
Sample 53,00053,1.00
Sample 54,00054,1.00
Sample 55,00055,1.00
Sample 56,00056,1.00
Sample 57,00057,1.00
Sample 58,00058,1.00
Sample 59,00059,1.00
Sample 60,00060,1.00
Sample 61,00061,1.00
Sample 62,00062,1.00
Sample 63,00063,1.00
Sample 64,00064,1.00
Sample 65,00065,1.00
Sample 66,00066,1.00
Sample 67,00067,1.00
Sample 68,00068,1.00
Sample 69,00069,1.00
Sample 70,00070,1.00
Sample 71,00071,1.00
Sample 72,00072,1.00
Sample 73,00073,1.00
Sample 74,00074,1.00
Sample 75,00075,1.00
Sample 76,00076,1.00
Sample 77,00077,1.00
Sample 78,00078,1.00
Sample 79,00079,1.00
Sample 80,00080,1.00
Sample 81,00081,1.00
Sample 82,00082,1.00
Sample 83,00083,1.00
Sample 84,00084,1.00
Sample 85,00085,1.00
Sample 86,00086,1.00
Sample 87,00087,1.00
Sample 88,00088,1.00
Sample 89,00089,1.00
Sample 90,00090,1.00
Sample 91,00091,1.00
Sample 92,00092,1.00
Sample 93,00093,1.00
Sample 94,00094,1.00
Sample 95,00095,1.00
Sample 96,00096,1.00
Sample 97,00097,1.00
Sample 98,00098,1.00
Sample 99,00099,1.00
Sample 100,00100,1.00
Sample 101,00101,1.00
Sample 102,00102,1.00
Sample 103,00103,1.00
Sample 104,00104,1.00
Sample 105,00105,1.00
Sample 106,00106,1.00
Sample 107,00107,1.00
Sample 108,00108,1.00
Sample 109,00109,1.00
Sample 110,00110,1.00
Sample 111,00111,1.00
Sample 112,00112,1.00
Sample 113,00113,1.00
Sample 114,00114,1.00
Sample 115,00115,1.00
Sample 116,00116,1.00
Sample 117,00117,1.00
Sample 118,00118,1.00
Sample 119,00119,1.00
Sample 120,00120,1.00
Sample 121,00121,1.00
Sample 122,00122,1.00
Sample 123,00123,1.00
Sample 124,00124,1.00
Sample 125,00125,1.00
Sample 126,00126,1.00
Sample 127,00127,1.00
Sample 128,00128,1.00
Sample 129,00129,1.00
Sample 130,00130,1.00
Sample 131,00131,1.00
Sample 132,00132,1.00
Sample 133,00133,1.00
Sample 134,00134,1.00
Sample 135,00135,1.00
Sample 136,00136,1.00
Sample 137,00137,1.00
Sample 138,00138,1.00
Sample 139,00139,1.00
Sample 140,00140,1.00
Sample 141,00141,1.00
Sample 142,00142,1.00
Sample 143,00143,1.00
Sample 144,00144,1.00
Sample 145,00145,1.00
Sample 146,00146,1.00
Sample 147,00147,1.00
Sample 148,00148,1.00
Sample 149,00149,1.00
Sample 150,00150,1.00
Sample 151,00151,1.00
Sample 152,00152,1.00
Sample 153,00153,1.00
Sample 154,00154,1.00
Sample 155,00155,1.00
Sample 156,00156,1.00
Sample 157,00157,1.00
Sample 158,00158,1.00
Sample 159,00159,1.00
Sample 160,00160,1.00
Sample 161,00161,1.00
Sample 162,00162,1.00
Sample 163,00163,1.00
Sample 164,00164,1.00
Sample 165,00165,1.00
Sample 166,00166,1.00
Sample 167,00167,1.00
Sample 168,00168,1.00
Sample 169,00169,1.00
Sample 170,00170,1.00
Sample 171,00171,1.00
Sample 172,00172,1.00
Sample 173,00173,1.00
Sample 174,00174,1.00
Sample 175,00175,1.00
Sample 176,00176,1.00
Sample 177,00177,1.00
Sample 178,00178,1.00
Sample 179,00179,1.00
Sample 180,00180,1.00
Sample 181,00181,1.00
Sample 182,00182,1.00
Sample 183,00183,1.00
Sample 184,00184,1.00
Sample 185,00185,1.00
Sample 186,00186,1.00
Sample 187,00187,1.00
Sample 188,00188,1.00
Sample 189,00189,1.00
Sample 190,00190,1.00
Sample 191,00191,1.00
Sample 192,00192,1.00
Sample 193,00193,1.00
Sample 194,00194,1.00
Sample 195,00195,1.00
Sample 196,00196,1.00
Sample 197,00197,1.00
Sample 198,00198,1.00
Sample 199,00199,1.00
Sample 200,00200,1.00
Sample 201,00201,1.00
Sample 202,00202,1.00
Sample 203,00203,1.00
Sample 204,00204,1.00
Sample 205,ID-A205,1.00
